Frame ID,ArUco ID,Left-Up X,Left-Up Y,Right-Up X,Right-Up Y,Right-Down X,Right-Down Y,Left-Down X,Left-Down Y,Distance,Yaw,Pitch,Roll
331,1,664.0,73.0,696.0,76.0,693.0,108.0,661.0,107.0,1.211196951153722,0.06393439316333473,6.473858591987944e-05,-3.039918657816142
332,1,676.0,75.0,709.0,78.0,704.0,113.0,673.0,111.0,1.1580896589436527,0.024384616751794142,-0.13012503632479644,-2.9143454886915117
333,1,674.0,83.0,707.0,85.0,704.0,121.0,671.0,119.0,1.1274207124764086,0.017607517511261158,-0.1109281803504725,-2.969255698478539
334,1,663.0,73.0,697.0,75.0,695.0,112.0,660.0,110.0,1.0896660546784234,0.022854983684516838,-0.08952821361649668,-3.015191674244724
335,1,648.0,99.0,684.0,100.0,682.0,139.0,647.0,138.0,1.0195497108972413,-0.02586049087168185,-0.1506326772906641,-2.9801739021451428
336,1,676.0,98.0,714.0,99.0,712.0,137.0,674.0,137.0,1.0271521948910596,0.029190314330487094,0.04309745514056378,-3.05259885571094
337,1,676.0,98.0,714.0,99.0,712.0,137.0,674.0,137.0,1.0271521948910596,0.029190314330487094,0.04309745514056378,-3.05259885571094
338,1,703.0,120.0,742.0,124.0,739.0,165.0,700.0,163.0,0.9368282276991053,0.03336362955684548,-0.13054456709343007,-3.058525434756721
339,1,713.0,117.0,755.0,120.0,752.0,163.0,710.0,161.0,0.9063396994883572,0.04389971601650703,-0.04779272954157467,-3.0781170255579955
340,1,732.0,109.0,777.0,111.0,773.0,157.0,730.0,155.0,0.8741739441835684,0.02784302224134989,-0.0479726153472116,-3.049421361553812
341,1,732.0,122.0,777.0,124.0,774.0,171.0,730.0,169.0,0.8477787528695006,0.018799842288132643,-0.07910767276078823,-3.064496413381022
342,1,759.0,103.0,807.0,104.0,805.0,156.0,757.0,155.0,0.7875568406742062,-0.01452578564058826,-0.10429159532898022,-3.0402514414786324
343,1,769.0,123.0,820.0,125.0,819.0,175.0,768.0,176.0,0.7765576733854015,0.006924010376830721,-0.013020595153236145,-3.116549887758363
344,1,806.0,102.0,862.0,102.0,862.0,160.0,806.0,160.0,0.7107856753555374,-0.015796323456605064,-0.04823553501239136,-3.113048529334571
345,1,848.0,125.0,907.0,127.0,907.0,189.0,847.0,187.0,0.6681852033379682,0.012504721514190447,-0.06927714570027675,3.1340683137871825
365,3,487.0,122.0,503.0,123.0,502.0,139.0,486.0,139.0,2.2845344580856968,-0.006145838183358757,-0.11139613856234057,-2.5960975578003893
366,3,492.0,123.0,509.0,124.0,508.0,140.0,492.0,139.0,2.2198626889859923,0.08751179780626962,0.0818363175921562,-2.411295421869872
369,3,503.0,158.0,521.0,159.0,521.0,177.0,503.0,179.0,1.9231979312728278,-0.09993498984738733,-0.25974550273127434,-2.819673480517918
370,3,486.0,153.0,504.0,152.0,505.0,170.0,487.0,173.0,1.9505249365456907,-0.16645547889962772,-0.1961077559011653,-2.67913303259601
371,3,495.0,170.0,513.0,170.0,512.0,189.0,496.0,189.0,2.1175601274948117,0.014098521733727429,0.0703588936551583,-2.880906419424816
373,3,542.0,145.0,561.0,146.0,559.0,166.0,541.0,165.0,1.9753636022042151,0.0776164608800948,0.0822250356265065,-2.8422606251587754
374,3,544.0,159.0,564.0,161.0,563.0,180.0,544.0,180.0,1.8333234753115213,0.016749395000352055,-0.12702185751399242,-3.108303970093663
375,3,547.0,169.0,567.0,168.0,567.0,190.0,548.0,191.0,1.704361936586247,-0.1300630851139058,-0.3004735526271112,-2.8818396168257028
